swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,turn_index,subutterance_index,text,pos,trees,ptb_treenumbers,start_turn,end_turn
sw04utt/sw_0417_3237.utt,3/sw3237,3237,0,o,A,1,1,"Okay,  /","[ Okay/UH ] ,/,","(INTJ (UH Okay) (, ,) (-DFL- E_S))",1,0.217875,1.808
sw04utt/sw_0417_3237.utt,3/sw3237,3237,1,qy^d,A,1,2,{C so } you said that you live in Coppell. /,so/UH [ you/PRP ] said/VBD that/IN  [ you/PRP ] live/VBP in/IN  [ Coppell/NNP ] ./.,(S (RB so) (NP-SBJ (PRP you)) (VP (VBD said) (SBAR (IN that) (S (NP-SBJ (PRP you)) (VP (VBP live) (PP-LOC (IN in) (NP (NNP Coppell))))))) (. .) (-DFL- E_S)),2,0.217875,1.808
sw04utt/sw_0417_3237.utt,3/sw3237,3237,2,ny,B,2,1,Uh-huh. /,[ Uh-huh/UH ] ./.,(INTJ (UH Uh-huh) (. .) (-DFL- E_S)),4,1.82725,2.3565
sw04utt/sw_0417_3237.utt,3/sw3237,3237,3,qw,A,3,1,{C So } what is your house like? /,So/UH  [ what/WP ] is/VBZ  [ your/PRP$ house/NN ] like/IN ?/.,(SBARQ (RB So) (WHNP-1 (WP what)) (SQ (VBZ is) (NP-SBJ (PRP$ your) (NN house)) (PP-PRD (IN like) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)),6,2.67475,4.297
sw04utt/sw_0417_3237.utt,3/sw3237,3237,4,sd,B,4,1,"It's a two bedroom, two baths duplex. /","[ It/PRP ] 's/BES  [ a/DT two/CD bedroom/NN ] ,/,  [ two/CD baths/NNS ] duplex/NN ./.","(S (NP-SBJ (PRP It)) (VP (BES 's) (NP-PRD (DT a) (CD two) (NN bedroom) (, ,) (CD two) (NNS baths) (NN duplex))) (. .) (-DFL- E_S))",8,4.4205,10.318
sw04utt/sw_0417_3237.utt,3/sw3237,3237,5,ba,A,5,1,"{F Oh, } {D well } that's neat, /","Oh/UH ,/, well/UH  [ that/DT ] 's/BES neat/JJ  ,/,","(S (INTJ (UH Oh)) (, ,) (INTJ (UH well)) (NP-SBJ (DT that)) (VP (BES 's) (ADJP-PRD (JJ neat))) (, ,) (-DFL- E_S))",10,10.4025,11.7835
sw04utt/sw_0417_3237.utt,3/sw3237,3237,6,sd,B,6,1,Brick --,[ Brick/NN ] --/:,"(NP-UNF (NN Brick) (CC and) (, ,) (INTJ (UH uh)) (, ,) (-DFL- N_S))",12,11.256125,13.47075
sw04utt/sw_0417_3237.utt,3/sw3237,3237,7,b,A,7,1,Uh-huh -- /,[ Uh-huh/UH ] --/:,(INTJ (UH Uh-huh) (-DFL- E_S)),14,12.924625,13.382375
sw04utt/sw_0417_3237.utt,3/sw3237,3237,8,+,B,8,1,"-- and, {F uh, } -/","--/: and/CC ,/,  [ uh/UH ] ,/,","(NP-UNF (NN Brick) (CC and) (, ,) (INTJ (UH uh)) (, ,) (-DFL- N_S))",12
sw04utt/sw_0417_3237.utt,3/sw3237,3237,9,qr,A,9,1,-- is it one you're renting or buying? /,--/: is/VBZ  [ it/PRP ] [ one/CD ] [ you/PRP ] 're/VBP renting/VBG or/CC buying/VBG ?/.,(SQ (VBZ is) (NP-SBJ (PRP it)) (NP-PRD (NP (CD one)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG renting) (CC or) (VBG buying) (NP (-NONE- *T*-1))))))) (. ?) (-DFL- E_S)),17,13.9145,15.603875
